"Part";"Value";"Device";"Package";"Description";"ADJUSTMENT_TYPE";"CATEGORY";"DESCRIPTION";"DOCUMENTATION_LINK";"DOCUMENTATION_URL";"FAMILY";"MANUFACTURER";"MOUNTING_TYPE";"NUMBER_OF_TURNS";"PART_NUMBER";"POWER";"PROD_ID";"RESISTANCE";"RESISTIVE_MATERIAL";"SERIES";"SF_ID";"SF_SKU";"SIZE";"STANDARD_PACKAGE";"SUPPLIER_ITEM_LINK";"SUPPLIER_ITEM_NUMBER";"SUPPLIER_ITEM_URL";"SUPPLIER_LINK";"SUPPLIER_NAME";"SUPPLIER_URL";"TEMPERATURE_COEFFICIENT";"TERMINATION_STYLE";"TOLERANCE";"VALUE";
"B2";"ARDUINO_UNO_R3_SHIELDUNO_R3_SHIELD_LABELS_HOLES_LONGER";"ARDUINO_UNO_R3_SHIELDUNO_R3_SHIELD_LABELS_HOLES_LONGER";"UNO_R3_SHIELD_HOLES_LONGER";"Arduino R3 Shield Footprint";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CUR-BYPASS";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"";"LED5MM";"LED_5MM";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"";"LED5MM";"LED_5MM";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"";"CONN_02POLAR";"MOLEX-1X2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PRT-09918";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J2";"";"CONN_03POLAR";"MOLEX-1X3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"CONN-08625";"";"";"";"PRT-08096";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J3";"";"CONN_04POLAR";"MOLEX-1X4";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"CONN-08186";"";"";"";"PRT-08231";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J4";"";"CONN_02POLAR";"MOLEX-1X2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PRT-09918";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J5";"";"CONN_02POLAR";"MOLEX-1X2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PRT-09918";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J6";"";"CONN_02POLAR";"MOLEX-1X2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PRT-09918";"";"";"";"";"";"";"";"";"";"";"";"";"";
